Alert!;Initial/Remark;First_ID;ID_Site;Master_ID;Colour;Marking_Type;Direction_Colour;Site;Area;Date_Marked;Marker;Assigned_Age;Assigned_Sex;Probable_Sex;DNA_sex;DNA+Sample_No;Average_Weight;Picture_ID_marked;Comment;;;;;;
;I;B_V_BA;B_V_BA;B_V_NORTH;B;P;V;BA;NORTH;20190622;JP;NA;NA;NA;NA;;NA;NA;initial marking on RHS;;;;;;
;I;BG_V_BA;BG_V_BA;BG_V_NORTH;BG;P;V;BA;NORTH;20190623;JP;A;M;M;M;S192;924,375;NA;;;;;;;
;I;BGM_V_BA;BGM_V_BA;BGM_V_NORTH;BGM;P;V;BA;NORTH;20190525;JP;J;NA;NA;NA;;839,5;NA;;;;;;;
;I;BGN_V_BA;BGN_V_BA;BGN_V_NORTH;BGN;P;V;BA;NORTH;20190627;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;BGO_V_BA;BGO_V_BA;BGO_V_NORTH;BGO;P;V;BA;NORTH;20190623;JP;NA;F;F;F;S255;NA;NA;;;;;;;
;I;BGP_V_BA;BGP_V_BA;BGP_V_NORTH;BGP;P;V;BA;NORTH;20190625;JP;J;M;M;M;S227;890,5833333;NA;;;;;;;
;I;BGT_V_BA;BGT_V_BA;BGT_V_NORTH;BGT;P;V;BA;NORTH;20190708;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;BGV_V_BA;BGV_V_BA;BGV_V_NORTH;BGV;P;V;BA;NORTH;20190625;JP;J;M;M;M;S193;NA;NA;;;;;;;
;I;BGVN_V_BA;BGVN_V_BA;BGVN_V_NORTH;BGVN;P;V;BA;NORTH;20190627;JP;J;NA;NA;NA;;NA;NA;4th colour : black, since mistake;;;;;;
;I;BM_V_BA;BM_V_BA;BM_V_NORTH;BM;P;V;BA;NORTH;20190709;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;BMB_V_BA;BMB_V_BA;BMB_V_NORTH;BMB;P;V;BA;NORTH;20190708;JP;NA;M;M;M;S194;NA;NA;;;;;;;
;I;BMG_V_BA;BMG_V_BA;BMG_V_NORTH;BMG;P;V;BA;NORTH;20190625;JP;NA;M;M;M;S184;NA;NA;;;;;;;
;I;BMN_V_BA;BMN_V_BA;BMN_V_NORTH;BMN;P;V;BA;NORTH;20190708;JP;NA;M;M;M;S159;NA;NA;;;;;;;
;I;BMO_V_BA;BMO_V_BA;BMO_V_NORTH;BMO;P;V;BA;NORTH;20190708;JP;A;M;M;NA;;NA;NA;;;;;;;
;I;BMP_V_BA;BMP_V_BA;BMP_V_NORTH;BMP;P;V;BA;NORTH;20190625;JP;J;F;F;F;S262;717;NA;;;;;;;
;I;BMT_V_BA;BMT_V_BA;BMT_V_NORTH;BMT;P;V;BA;NORTH;20190708;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;BMV_V_BA;BMV_V_BA;BMV_V_NORTH;BMV;P;V;BA;NORTH;20190625;JP;A;M;M;NA;;870;NA;;;;;;;
;I;BN_V_BA;BN_V_BA;BN_V_NORTH;BN;P;V;BA;NORTH;20190709;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;BNB_V_BA;BNB_V_BA;BNB_V_NORTH;BNB;P;V;BA;NORTH;20190708;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;BNG_V_BA;BNG_V_BA;BNG_V_NORTH;BNG;P;V;BA;NORTH;20190627;JP;J;F;F;F;S228;866,7;NA;;;;;;;
;I;BNM_V_BA;BNM_V_BA;BNM_V_NORTH;BNM;P;V;BA;NORTH;20190708;JP;J;NA;M;NA;;806,5;NA;;;;;;;
;I;BNO_V_BA;BNO_V_BA;BNO_V_NORTH;BNO;P;V;BA;NORTH;20190628;JP;J;NA;NA;NA;;851,25;NA;;;;;;;
;I;65;65;65;Ninja;W;NA;BA;NORTH;;;;;;;;;;;;;;;;
;R1;65;BNP_V_BA;65;BNP;P;V;BA;NORTH;20190628;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;BNT_V_BA;BNT_V_BA;BNT_V_NORTH;BNT;P;V;BA;NORTH;20190708;JP;NA;F;F;F;S196;NA;NA;blue smur on Lneck ;;;;;;
;I;BNV_V_BA;BNV_V_BA;BNV_V_NORTH;BNV;P;V;BA;NORTH;20190627;JP;A;M;M;NA;;NA;NA;;;;;;;
;I;BOB_V_BA;BOB_V_BA;BOB_V_NORTH;BOB;P;V;BA;NORTH;20190703;JP;;;;;;;;ringed  220-05065;;;;;;
;I;BOG_V_BA;BOG_V_BA;BOG_V_NORTH;BOG;P;V;BA;NORTH;20190623;JP;J;NA;M;NA;;902,1428571;NA;;;;;;;
;I;BOM_V_BA;BOM_V_BA;BOM_V_NORTH;BOM;P;V;BA;NORTH;20190625;JP;J;NA;M;NA;;NA;NA;marked also on LHS wing;;;;;;
;I;BON_V_BA;BON_V_BA;BON_V_NORTH;BON;P;V;BA;NORTH;20190628;JP;A;F;F;NA;;984,25;NA;;;;;;;
;I;BOP_V_BA;BOP_V_BA;BOP_V_NORTH;BOP;P;V;BA;NORTH;20190628;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;BOT_V_BA;BOT_V_BA;BOT_V_NORTH;BOT;P;V;BA;NORTH;20190703;JP;NA;NA;NA;NA;;;;;;;;;;
;I;BP_V_BA;BP_V_BA;BP_V_NORTH;BP;P;V;BA;NORTH;20190622;JP;A;M;M;NA;;NA;NA;;;;;;;
;I;BPB_V_BA;BPB_V_BA;BPB_V_NORTH;BPB;P;V;BA;NORTH;20190804;JP;NA;NA;NA;NA;;;;;;;;;;
;I;BPG_V_BA;BPG_V_BA;BPG_V_NORTH;BPG;P;V;BA;NORTH;20190625;JP;J;NA;M;NA;;865;NA;;;;;;;
;I;BPM_V_BA;BPM_V_BA;BPM_V_NORTH;BPM;P;V;BA;NORTH;20190625;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;BPN_V_BA;BPN_V_BA;BPN_V_NORTH;BPN;P;V;BA;NORTH;20190628;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;BPO_V_BA;BPO_V_BA;BPO_V_NORTH;BPO;P;V;BA;NORTH;20190628;JP;NA;NA;NA;NA;;NA;NA;former transmitter bird, ringed;;;;;;
;I;BPT_V_BA;BPT_V_BA;BPT_V_NORTH;BPT;P;V;BA;NORTH;20190307;JP;A;F;F;NA;;;;;;;;;;
;I;BPV_V_BA;BPV_V_BA;BPV_V_NORTH;BPV;P;V;BA;NORTH;20190622;JP;A;F;F;NA;;NA;NA;looks like BV;;;;;;
;I;BT_V_BA;BT_V_BA;BT_V_NORTH;BT;P;V;BA;NORTH;20190622;JP;A;M;M;NA;;904,8333333;NA;gps bird;;;;;;
;I;BTB_V_BA;BTB_V_BA;BTB_V_NORTH;BTB;P;V;BA;NORTH;20190703;JP;J;NA;NA;NA;;;;has BFD;;;;;;
;I;BTG_V_BA;BTG_V_BA;BTG_V_NORTH;BTG;P;V;BA;NORTH;20190703;JP;J;NA;NA;NA;;;;;;;;;;
;I;BTM_V_BA;BTM_V_BA;BTM_V_NORTH;BTM;P;V;BA;NORTH;20190703;JP;J;NA;NA;NA;;;;;;;;;;
;I;BTN_V_BA;BTN_V_BA;BTN_V_NORTH;BTN;P;V;BA;NORTH;20190703;JP;NA;NA;NA;NA;;;;;;;;;;
;I;BTO_V_BA;BTO_V_BA;BTO_V_NORTH;BTO;P;V;BA;NORTH;20190703;JP;NA;NA;NA;NA;;;;;;;;;;
;I;BTV_V_BA;BTV_V_BA;BTV_V_NORTH;BTV;P;V;BA;NORTH;20190703;JP;J;NA;NA;NA;;;;;;;;;;
;I;BV_V_BA;BV_V_BA;BV_V_NORTH;BV;P;V;BA;NORTH;20190622;JP;NA;M;M;M;S198;NA;NA;;;;;;;
;I;BVB_V_BA;BVB_V_BA;BVB_V_NORTH;BVB;P;V;BA;NORTH;20190707;JP;A;F;F;F;S185;819,75;NA;;;;;;;
;I;BVG_V_BA;BVG_V_BA;BVG_V_NORTH;BVG;P;V;BA;NORTH;20190623;JP;A;F;F;F;S199;NA;NA;green only small;;;;;;
;I;BVM_V_BA;BVM_V_BA;BVM_V_NORTH;BVM;P;V;BA;NORTH;20190625;JP;A;M;M;M;S200;808;NA;brown on LHS wing;;;;;;
;I;BVN_V_BA;BVN_V_BA;BVN_V_NORTH;BVN;P;V;BA;NORTH;20190627;JP;A;F;F;F;S201;881,75;NA;;;;;;;
;I;BVO_V_BA;BVO_V_BA;BVO_V_NORTH;BVO;P;V;BA;NORTH;20190707;JP;A;M;M;NA;;891;NA;;;;;;;
;I;BVP_V_BA;BVP_V_BA;BVP_V_NORTH;BVP;P;V;BA;NORTH;20190622;JP;A;M;M;NA;;859,1666667;NA;;;;;;;
;I;BVT_V_BA;BVT_V_BA;BVT_V_NORTH;BVT;P;V;BA;NORTH;20190707;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;MB_V_BA;MB_V_BA;MB_V_NORTH;MB;P;V;BA;NORTH;20190701;JP;J;NA;NA;NA;;NA;NA;;;;;;;
;I;MBG_V_BA;MBG_V_BA;MBG_N_NORTH;MBG;P;N;BA;NORTH;20190701;JP;J;F;F;F;S230;NA;NA;initial marking on neck // has BFD;;;;;;
;I;MBM_V_BA;MBM_V_BA;MBM_N_NORTH;MBM;P;N;BA;NORTH;20190703;JP;NA;NA;NA;NA;;;;;;;;;;
;I;MBN_V_BA;MBN_V_BA;MBN_V_NORTH;MBN;P;V;BA;NORTH;20190708;JP;A;M;M;NA;;NA;NA;M barely visible;;;;;;
;I;MBO_V_BA;MBO_V_BA;MBO_V_NORTH;MBO;P;V;BA;NORTH;20190708;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;MBP_V_BA;MBP_V_BA;MBP_V_NORTH;MBP;P;V;BA;NORTH;20190701;JP;NA;M;M;M;S204;NA;NA;;;;;;;
;I;MBT_V_BA;MBT_V_BA;MBT_V_NORTH;MBT;P;V;BA;NORTH;20190701;JP;A;M;M;NA;;924;NA;;;;;;;
;I;MBT2_W_BA;MBT_W_BA;MBT_W_NORTH;MBT;P;W;BA;NORTH;20190708;JP;NA;NA;NA;NA;;NA;NA;mistake, combi twice, but this one with M on  wing;;;;;;
;I;MBV_V_BA;MBV_V_BA;MBV_V_NORTH;MBV;P;V;BA;NORTH;20190701;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;MGB_V_BA;MGB_V_BA;MGB_V_NORTH;MGB;P;V;BA;NORTH;20190702;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;MGM_V_BA;MGM_V_BA;MGM_V_NORTH;MGM;P;V;BA;NORTH;20190702;JP;J;M;M;M;S238;894;NA;;;;;;;
;I;MGN_V_BA;MGN_V_BA;MGN_V_NORTH;MGN;P;V;BA;NORTH;20190702;JP;A;F;F;F;S247;NA;NA;;;;;;;
;I;MGO_V_BA;MGO_V_BA;MGO_V_NORTH;MGO;P;V;BA;NORTH;20190702;JP;J;NA;M;NA;;787,3333333;NA;;;;;;;
;I;MGP_V_BA;MGP_V_BA;MGP_V_NORTH;MGP;P;V;BA;NORTH;20190702;JP;A;M;M;NA;;943,5;NA;;;;;;;
;I;MGT_V_BA;MGT_V_BA;MGT_V_NORTH;MGT;P;V;BA;NORTH;20190702;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;MGV_V_BA;MGV_V_BA;MGV_V_NORTH;MGV;P;V;BA;NORTH;20190708;JP;J;F;F;F;S156;NA;NA;;;;;;;
;I;MNB_V_BA;MNB_V_BA;MNB_V_NORTH;MNB;P;V;BA;NORTH;20190708;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;MNG_V_BA;MNG_V_BA;MNG_V_NORTH;MNG;P;V;BA;NORTH;20190702;JP;A;M;M;NA;;933;NA;;;;;;;
;I;MNM_V_BA;MNM_V_BA;MNM_V_NORTH;MNM;P;V;BA;NORTH;20190709;JP;J;NA;NA;NA;;NA;NA;;;;;;;
;I;MNO_V_BA;MNO_V_BA;MNO_V_NORTH;MNO;P;V;BA;NORTH;20190708;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;MNP_V_BA;MNP_V_BA;MNP_V_NORTH;MNP;P;V;BA;NORTH;20190701;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;MNT_V_BA;MNT_V_BA;MNT_V_NORTH;MNT;P;V;BA;NORTH;20190702;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;MNV_V_BA;MNV_V_BA;MNV_V_NORTH;MNV;P;V;BA;NORTH;20190708;JP;NA;M;M;M;S206;NA;NA;horizontal marking;;;;;;
;I;MO_V_BA;MO_V_BA;MO_V_NORTH;MO;P;V;BA;NORTH;20190702;JP;NA;NA;NA;NA;;;;no toes on right foot ;;;;;;
;I;MOG_V_BA;MOG_V_BA;MOG_V_NORTH;MOG;P;V;BA;NORTH;20190702;JP;A;M;M;M;S231;885,5;NA;;;;;;;
;I;MOM_V_BA;MOM_V_BA;MOM_V_NORTH;MOM;P;V;BA;NORTH;20190702;JP;NA;M;M;M;S239;NA;NA;looks like MON;;;;;;
;I;MOP_V_BA;MOP_V_BA;MOP_V_NORTH;MOP;P;V;BA;NORTH;20190702;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;MOT_V_BA;MOT_V_BA;MOT_V_NORTH;MOT;P;V;BA;NORTH;20190702;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;MOV_V_BA;MOV_V_BA;MOV_V_NORTH;MOV;P;V;BA;NORTH;20190702;JP;A;M;M;M;S186;858;NA;;;;;;;
;I;MPB_V_BA;MPB_V_BA;MPB_V_NORTH;MPB;P;V;BA;NORTH;20190701;JP;A;F;F;NA;;NA;NA;;;;;;;
;I;MPG_V_BA;MPG_V_BA;MPG_V_NORTH;MPG;P;V;BA;NORTH;20190701;JP;A;F;F;F;S206;801;NA;;;;;;;
;I;MPM_V_BA;MPM_V_BA;MPM_V_NORTH;MPM;P;V;BA;NORTH;20190702;JP;A;M;M;NA;;976,6666667;NA;;;;;;;
;I;MPN_V_BA;MPN_V_BA;MPN_V_NORTH;MPN;P;V;BA;NORTH;20190701;JP;J;M;M;M;S257;NA;NA;N barely visible;;;;;;
;I;MPT_V_BA;MPT_V_BA;MPT_V_NORTH;MPT;P;V;BA;NORTH;20190701;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;MPV_V_BA;MPV_V_BA;MPV_V_NORTH;MPV;P;V;BA;NORTH;20190702;JP;NA;NA;NA;NA;;NA;NA;;;;;;;
;I;MTB_V_BA;MTB_V_BA;MTB_V_NORTH;MTB;P;V;BA;NORTH;20190708;JP;NA;F;F;F;S240;NA;NA;M next to T;;;;;;
;I;MTG_V_BA;MTG_V_BA;MTG_V_NORTH;MTG;P;V;BA;NORTH;20190702;JP;NA;NA;NA;NA;;NA;NA;brown barely visible;;;;;;
