Kinship_ID,Social_ID,Sample_No,Site_Tagged,Area,Roost_Membership,Roost_Latitude,Roost_Longitude,Age,Sex
BVB_V_BA,BVB_V_BA,S185,BA,North,BA,-33.82836,151.2536,A,F
MOV_V_BA,MOV_V_BA,S186,BA,North,BA,-33.82836,151.2536,A,M
MVT_V_BA,MVT_V_BA,S187,BA,North,BA,-33.82836,151.2536,A,M
ONV_V_BA,ONV_V_BA,S188,BA,North,BA,-33.82836,151.2536,J,M
OVM_V_BA,OVM_V_BA,S189,BA,North,BA,-33.82836,151.2536,A,M
Ali,X77,S408,NB,North,NB,-33.81661,151.2221,A,F
MTV_V_BA,MTV_V_BA,S183,BA,North,BA,-33.82836,151.2536,NA,M
BMG_V_BA,BMG_V_BA,S184,BA,North,BA,-33.82836,151.2536,NA,M
OVO_V_BA,OVO_V_BA,S190,BA,North,NB,-33.81661,151.2221,NA,F
ONG_V_BA,ONG_V_BA,S263,BA,North,NB,-33.81661,151.2221,J,M
GO_H_BG,GO_H_BG,S271,BG,North,BG,-33.8645,151.2203,A,M
N_H_BG,N_H_BG,S279,BG,North,BG,-33.8645,151.2203,J,F
BV_V_BA,BV_V_BA,S198,BA,North,CG,-33.83809,151.2502,A,M
MPG_V_BA,MPG_V_BA,S206,BA,North,BA,-33.82836,151.2536,A,F
OTBO_V_BA,OTBO_V_BA,S214,BA,North,BA,-33.82836,151.2536,A,M
TOT_V_BA,TOT_V_BA,S222,BA,North,BA,-33.82836,151.2536,J,F
MBG_V_BA,MBG_V_BA,S230,BA,North,NB,-33.81661,151.2221,J,F
MGM_V_BA,MGM_V_BA,S238,BA,North,BA,-33.82836,151.2536,J,M
MGN_V_BA,MGN_V_BA,S247,BA,North,NB,-33.81661,151.2221,A,F
BGO_V_BA,BGO_V_BA,S255,BA,North,CG,-33.83809,151.2502,J,F
OP_V_BA,OP_V_BA,S191,BA,North,BA,-33.82836,151.2536,J,M
GTG_H_BG,GTG_H_BG,S272,BG,North,NB,-33.81661,151.2221,A,F
GOT_H_BG,GOT_H_BG,S280,BG,North,BG,-33.8645,151.2203,A,M
BVG_V_BA,BVG_V_BA,S199,BA,North,BA,-33.82836,151.2536,A,F
MTM_V_BA,MTM_V_BA,S207,BA,North,BA,-33.82836,151.2536,J,M
OTVT_V_BA,OTVT_V_BA,S215,BA,North,BA,-33.82836,151.2536,A,M
TPM_V_BA,TPM_V_BA.,S223,BA,North,BA,-33.82836,151.2536,A,M
MOG_V_BA,MOG_V_BA,S231,BA,North,NB,-33.81661,151.2221,A,M
MOM_V_BA,MOM_V_BA,S239,BA,North,BA,-33.82836,151.2536,A,M
VPG_V_BA,VPG_V_BA,S248,BA,North,NB,-33.81661,151.2221,NA,M
MGV_V_BA,MGV_V_BA,S256,BA,North,BA,-33.82836,151.2536,J,F
BG_V_BA,BG_V_BA,S192,BA,North,NB,-33.81661,151.2221,A,M
OGO_V_BA,OGO_V_BA,S265,BA,North,NB,-33.81661,151.2221,A,F
Heidi,X48,S273,BG,North,CG,-33.83809,151.2502,A,F
Lawrence,X25,S281,BG,North,CG,-33.83809,151.2502,A,M
BVM_V_BA,BVM_V_BA,S200,BA,North,BA,-33.82836,151.2536,A,M
N_V_BA,N_V_BA,S208,BA,North,BA,-33.82836,151.2536,J,F
OVP_V_BA,OVP_V_BA,S216,BA,North,BA,-33.82836,151.2536,J,M
TPO_V_BA,TPO_V_BA.,S224,BA,North,BA,-33.82836,151.2536,A,F
OMG_V_BA,OMG_V_BA,S232,BA,North,BA,-33.82836,151.2536,J,F
MTB_V_BA,MTB_V_BA,S240,BA,North,BA,-33.82836,151.2536,NA,F
TOP_V_BA,TOP_V_BA,S249,BA,North,BA,-33.82836,151.2536,J,M
MPN_V_BA,MPN_V_BA,S257,BA,North,BA,-33.82836,151.2536,J,M
BGV_V_BA,BGV_V_BA,S193,BA,North,BA,-33.82836,151.2536,J,M
OVG_V_BA,OVG_V_BA,S266,BA,North,BA,-33.82836,151.2536,A,F
NVP_H_BG,NVP_H_BG,S274,BG,North,BG,-33.8645,151.2203,A,M
Xavier,X52,S283,BG,North,CG,-33.83809,151.2502,A,F
BVN_V_BA,BVN_V_BA,S201,BA,North,BA,-33.82836,151.2536,A,F
OBN_V_BA,OBN_V_BA,S209,BA,North,BA,-33.82836,151.2536,A,M
TBM_V_BA,TBM_V_BA,S217,BA,North,BA,-33.82836,151.2536,A,M
TPTP_V_BA,TPTP_V_BA,S225,BA,North,BA,-33.82836,151.2536,A,M
OMP_V_BA,OMP_V_BA,S233,BA,North,BA,-33.82836,151.2536,J,F
OBM_V_BA,OBM_V_BA,S241,BA,North,BA,-33.82836,151.2536,J,F
BTB_V_BA,BTB_V_BA,S250,BA,North,BA,-33.82836,151.2536,J,F
OGM_V_BA,OGM_V_BA,S258,BA,North,NB,-33.81661,151.2221,J,M
BMB_V_BA,BMB_V_BA,S194,BA,North,BA,-33.82836,151.2536,NA,M
Pirate,GPG_H_BG,S267,BG,North,BG,-33.8645,151.2203,A,M
GM_H_BG,GM_H_BG,S275,BG,North,BG,-33.8645,151.2203,J,M
Atticus,X142,S284,BA,North,BA,-33.82836,151.2536,NA,M
Disco_Tech,X118,S202,BA,North,BA,-33.82836,151.2536,A,M
OMT_V_BA,OMT_V_BA,S210,BA,North,BA,-33.82836,151.2536,A,F
TGM_V_BA,TGM_V_BA,S218,BA,North,BA,-33.82836,151.2536,A,F
BGB_V_BA,BGB_V_BA,S226,BA,North,NB,-33.81661,151.2221,A,F
OVN_V_BA,OVN_V_BA,S234,BA,North,BA,-33.82836,151.2536,A,F
OMN_V_BA,OMN_V_BA,S242,BA,North,BA,-33.82836,151.2536,J,M
OMB_V_BA,OMB_V_BA,S251,BA,North,NB,-33.81661,151.2221,J,M
OGP_V_BA,OGP_V_BA,S259,BA,North,BA,-33.82836,151.2536,A,M
BMN_V_BA,BMN_V_BA,S195,BA,North,BA,-33.82836,151.2536,NA,M
Unicorn,X101,S268,BG,North,BG,-33.8645,151.2203,A,M
GTP_H_BG,GTP_H_BG,S276,BG,North,BG,-33.8645,151.2203,A,F
GVO_H_BG,GVO_H_BG,S285,BG,North,BG,-33.8645,151.2203,NA,F
Heiko,X136,S203,BA,North,BA,-33.82836,151.2536,J,M
OPG_V_BA,OPG_V_BA,S211,BA,North,NB,-33.81661,151.2221,A,F
TGP_V_BA,TGP_V_BA.,S219,BA,North,BA,-33.82836,151.2536,A,F
BGP_V_BA,BGP_V_BA,S227,BA,North,BA,-33.82836,151.2536,J,M
TPN_V_BA,TPN_V_BA,S235,BA,North,BA,-33.82836,151.2536,J,M
TMP_V_BA,TMP_V_BA,S252,BA,North,NB,-33.81661,151.2221,NA,M
OTP_V_BA,OTP_V_BA,S260,BA,North,CG,-33.83809,151.2502,A,F
BNT_V_BA,BNT_V_BA,S196,BA,North,BA,-33.82836,151.2536,A,F
BMG_H_BG,GMB_H_BG,S269,BG,North,BG,-33.8645,151.2203,J,F
GV_H_BG,GV_H_BG,S277,BG,North,BG,-33.8645,151.2203,A,M
MBP_V_BA,MBP_V_BA,S204,BA,North,BA,-33.82836,151.2536,NA,M
OPM_V_BA,OPM_V_BA,S212,BA,North,BA,-33.82836,151.2536,NA,M
The_Wig,X88,S220,BA,North,CG,-33.83809,151.2502,A,M
BNG_V_BA,BNG_V_BA,S228,BA,North,NB,-33.81661,151.2221,J,F
VPT_V_BA,VPT_V_BA,S236,BA,North,NB,-33.81661,151.2221,J,F
TNO_V_BA,TNO_V_BA,S244,BA,North,BA,-33.82836,151.2536,J,M
VPO_V_BA,VPO_V_NB,S253,BA,North,BA,-33.82836,151.2536,A,M
TGM2_V_BA,NA,S261,BA,North,BA,-33.82836,151.2536,NA,M
BOT_V_BA,BOT_V_BA.,S197,BA,North,BA,-33.82836,151.2536,NA,M
GNV_H_BG,GNV_H_BG,S270,BG,North,BG,-33.8645,151.2203,A,M
GVPG_H_BG,GVPG_H_BG,S278,BG,North,BG,-33.8645,151.2203,A,F
MNV_V_BA,MNV_H_BA,S205,BA,North,BA,-33.82836,151.2536,NA,M
OPV_V_BA,OPV_V_BA,S213,BA,North,CG,-33.83809,151.2502,A,F
TMG_V_BA,TMG_V_BA,S221,BA,North,NB,-33.81661,151.2221,NA,M
BTG_V_BA,BTG_V_BA,S229,BA,North,NB,-33.81661,151.2221,J,M
BTV_V_BA,BTV_V_BA,S237,BA,North,BA,-33.82836,151.2536,J,F
TPG_V_BA,TPG_V_BA,S245,BA,North,NB,-33.81661,151.2221,J,F
Polly,X107,S254,BA,North,CG,-33.83809,151.2502,A,F
BMP_V_BA,BMP_V_BA,S262,BA,North,NB,-33.81661,151.2221,J,F
Archimedes,X42,S286,CG,North,CG,-33.83809,151.2502,A,M
NP_V_MA,NP_V_MA,S359,MA,North,MA,-33.7958,151.2819,A,M
ON_H_MA,ON_H_MA,S367,MA,North,MA,-33.7958,151.2819,J,F
PNV_V_NB,PMV_V_NB,S375,NB,North,NB,-33.81661,151.2221,A,M
TG_H_CG,TG_H_CG,S294,CG,North,CG,-33.83809,151.2502,A,M
VGV_H_CG,VGV_H_CG,S310,CG,North,CG,-33.83809,151.2502,A,M
PVT_H_CG,PVT_H_CG,S318,CG,North,CG,-33.83809,151.2502,J,F
TNP_H_CG,TNP_H_CG,S326,CG,North,CG,-33.83809,151.2502,NA,M
PBN_H_CG,PBN_H_CG,S335,CG,North,NB,-33.81661,151.2221,A,F
Dancing_Jen,X40,S343,CG,North,CG,-33.83809,151.2502,A,F
NB_V_MA,NB_V_MA,S351,MA,North,MA,-33.7958,151.2819,A,M
