"","Location","Date","Time","Winner","Loser","Behaviour","Initiator","Comments","Preening","X"
"1","CG","09.07.22",734,"GPB_H_CG","GB_H_CG","","","","",""
"2","CG","09.07.22",734,"X35","BNG_V_BG","","","","",""
"3","CG","09.07.22",735,"PNB_H_CG","NVP_H_CG","ap.dis[rt]","W","","",""
"4","CG","09.07.22",735,"BPN_H_CG","PNB_H_CG","","","","",""
"5","CG","09.07.22",735,"X35","PNB_H_CG","ap.st[rt]","W","","",""
"6","CG","09.07.22",736,"GVP_H_CG","GB_H_CG","fa[fo]","W","","",""
"7","CG","09.07.22",736,"GVP_H_CG","BNw_H_CG","ht.bg[ha]","W","","",""
"8","CG","09.07.22",737,"PGM_H_CG","GPB_H_CG","","","","",""
"9","CG","09.07.22",737,"GVP_H_CG","BNw_H_CG","","","","",""
"10","CG","09.07.22",737,"GVP_H_CG","PNP_H_CG","ht.ws[ha]","W","","",""
"11","CG","09.07.22",739,"GBP_H_CG","BPG_H_CG","","","","",""
"12","CG","09.07.22",740,"PBG_H_CG","VPG_H_CG","","","","",""
"13","CG","09.07.22",744,"PVG_H_CG","PVBsm_H_CG","","","","",""
"14","CG","09.07.22",744,"X35","GB_H_CG","","","","",""
"15","CG","09.07.22",744,"X35","NVP_H_CG","","","","",""
"16","CG","09.07.22",744,"PGM_H_CG","GPB_H_CG","ht.bg[voc.ha]","W","","",""
"17","CG","09.07.22",745,"PGM_H_CG","PVG_H_CG","","","","",""
"18","CG","09.07.22",746,"PBV_H_CG","X35","","","","",""
"19","CG","09.07.22",747,"PBV_H_CG","GBP_H_CG","","","","",""
"20","CG","09.07.22",748,"PVG_H_CG","PNB_H_CG","","","","",""
"21","CG","09.07.22",749,"GVP_H_CG","VPG_H_CG","","","","",""
"22","CG","09.07.22",754,"PBV_H_CG","VNG_V_BG","","","","",""
"23","CG","09.07.22",754,"PBV_H_CG","PVG_H_CG","","","","",""
"24","CG","09.07.22",755,"GVP_H_CG","NVP_H_CG","ht[ha]","W","","",""
"25","CG","09.07.22",756,"GVP_H_CG","NVP_H_CG","","","","",""
"26","CG","09.07.22",756,"PBV_H_CG","BNG_V_BG","","","","",""
"27","CG","09.07.22",756,"PVG_H_CG","BPG_H_CG","","","","",""
"28","CG","09.07.22",757,"GVP_H_CG","NVP_H_CG","","","","",""
"29","CG","09.07.22",757,"PVB_H_CG","VNG_V_BG","","","","",""
"30","CG","09.07.22",800,"VNG_V_BG","NBP_H_CG","","","","",""
"31","CG","09.07.22",801,"GVP_H_CG","GB_H_CG","","","","",""
"32","CG","09.07.22",802,"GVP_H_CG","PNP_H_CG","","","","",""
"33","CG","09.07.22",802,"NVP_H_CG","PNP_H_CG","ap.dis[rt]","W","","",""
"34","CG","09.07.22",803,"BNw_H_CG","VNG_V_BG","","","","",""
"35","CG","09.07.22",805,"GVP_H_CG","NVP_H_CG","ws.ht[ha]","W","","",""
"36","CG","09.07.22",805,"GVP_H_CG","PNB_H_CG","","","","",""
"37","CG","09.07.22",808,"GPN_H_CG","BPB_H_CG","","","","",""
"38","CG","09.07.22",808,"GVP_H_CG","GPB_H_CG","","","","",""
"39","CG","09.07.22",808,"X35","MP_H_CG","","","","",""
"40","CG","09.07.22",810,"X11","GVP_H_CG","ap[rt]","W","","",""
"41","CG","09.07.22",812,"PVBN_H_CG","NBP_H_CG","","","","",""
"42","CG","09.07.22",813,"GVP_H_CG","PNB_H_CG","ht.bg[ha]","W","","",""
"43","CG","09.07.22",816,"BPN_H_CG","PGP_H_CG","ap.dis[rt]","W","","",""
"44","CG","09.07.22",818,"X11","BNG_V_BG","","","","",""
"45","CG","09.07.22",819,"PNB_H_CG","BNw_H_CG","[ap]st[rt]","L","","",""
"46","CG","09.07.22",822,"X35","PVBsm_H_CG","ap.bg[rt]","W","","",""
"47","CG","09.07.22",824,"GPN_H_CG","VPG_H_CG","ap[ha]","W","","",""
"48","CG","09.07.22",824,"PGP_H_CG","NBP_H_CG","ap.bg[ha]","W","","",""
"49","CG","09.07.22",824,"PGP_H_CG","VPG_H_CG","ap.dis[rt]","W","","",""
"50","CG","09.07.22",825,"PGP_H_CG","VPG_H_CG","ap.st[rt]","W","","",""
"51","CG","09.07.22",828,"MP_H_CG","NBP_H_CG","ap[ha]","W","","",""
"52","CG","09.07.22",829,"MP_H_CG","PNB_H_CG","ap[rt]","W","","",""
"53","CG","09.07.22",829,"MP_H_CG","BNG_V_BG","ap[ha]","W","","",""
"54","CG","09.07.22",829,"MP_H_CG","VPG_H_CG","ap[rt]","W","","",""
"55","CG","09.07.22",832,"GVP_H_CG","PNB_H_CG","ap.bg[ha]","W","","",""
"56","CG","09.07.22",832,"GVP_H_CG","NBP_H_CG","ht.ws[ha]","W","","",""
"57","CG","09.07.22",832,"GVP_H_CG","PNB_H_CG","","","","",""
"58","CG","09.07.22",832,"PNB_H_CG","BNG_V_BG","","","","",""
"59","CG","09.07.22",832,"GVP_H_CG","PNB_H_CG","","","","",""
"60","CG","09.07.22",834,"NBP_H_CG","GPN_H_CG","bg[ha]","","","",""
"61","CG","09.07.22",835,"GVP_H_CG","PVBsm_H_CG","ht.bg[ha]","W","","",""
"62","CG","09.07.22",835,"PVBsm_H_CG","VPG_H_CG","","","","",""
"63","CG","09.07.22",837,"GVP_H_CG","NBP_H_CG","ap.dis[rt]","W","","",""
"64","CG","09.07.22",838,"GVP_H_CG","VPG_H_CG","ht.bg[ha]","W","","",""
"65","CG","09.07.22",902,"PBV_H_CG","PVBsm_H_CG","","","","",""
"66","CG","09.07.22",906,"BPN_H_CG","PVBsm_H_CG","","","","",""
"67","CG","09.07.22",907,"GVP_H_CG","PBV_H_CG","","","","",""
"68","CG","09.07.22",909,"PMneck_CG","NBP_H_CG","","","","",""
"69","CG","09.07.22",909,"X11","PMneck_CG","ap[rt]","W","","",""
"70","CG","09.07.22",909,"X11","PGV_H_CG","ap[rt]","W","","",""
"71","CG","09.07.22",912,"GPG_H_CG","VPG_H_CG","","","","",""
"72","CG","09.07.22",911,"X11","PGM_H_CG","","","","",""
"73","CG","09.07.22",913,"PGP_H_CG","NBP_H_CG","","","","",""
"74","CG","09.07.22",914,"GVP_H_CG","PGP_H_CG","","","","",""
"75","CG","09.07.22",914,"GVP_H_CG","PVBsm_H_CG","","","","",""
"76","CG","09.07.22",915,"GVP_H_CG","PGM_H_CG","","","","",""
"77","CG","09.07.22",922,"GVP_H_CG","PBG_H_CG","ht.bt[ha]","W","","",""
"78","CG","09.07.22",922,"GVP_H_CG","PMneck_CG","","","","",""
"79","CG","09.07.22",922,"PBV_H_CG","PVBsm_H_CG","","","","",""
"80","CG","09.07.22",926,"PMneck_CG","PGP_H_CG","","","","",""
"81","CG","09.07.22",926,"PMneck_CG","VPG_H_CG","","","","",""
"82","CG","09.07.22",928,"X35","PMneck_CG","st[ha]","","","",""
"83","CG","09.07.22",928,"PBV_H_CG","GPG_H_CG","ap[rt]","W","","",""
"84","CG","09.07.22",929,"PGM_H_CG","PVG_H_CG","ap[rt]","W","","",""
"85","CG","09.07.22",931,"PBV_H_CG","PGP_H_CG","","","","",""
"86","CG","09.07.22",932,"PGM_H_CG","PVG_H_CG","ht.bt[ha]","W","","",""
"87","CG","09.07.22",937,"PMneck_CG","PGP_H_CG","","","","",""
"88","CG","09.07.22",937,"PMneck_CG","NBP_H_CG","fa[fo]","W","","",""
"89","CG","09.07.22",944,"BPN_H_CG","GPN_H_CG","","","","",""
"90","CG","09.07.22",945,"PGP_H_CG","GPN_H_CG","ap[ha]ap[ha]","W","","",""
"91","CG","09.07.22",948,"PGM_H_CG","GPN_H_CG","","","","",""
"92","CG","09.07.22",948,"GVP_H_CG","PVG_H_CG","","","","",""
"93","CG","09.07.22",949,"PMneck_CG","GPN_H_CG","","","","",""
"94","CG","09.07.22",949,"GVP_H_CG","GPN_H_CG","","","","",""
"95","CG","09.07.22",951,"PGM_H_CG","PVP_H_CG","","","","",""
"96","CG","09.07.22",952,"PGM_H_CG","PMneck_CG","ap[rt]","W","","",""
"97","CG","09.07.22",954,"PGM_H_CG","PGP_H_CG","ap[rt]","W","","",""
"98","CG","09.07.22",956,"PBV_H_CG","PVP_H_CG","","","","",""
"99","CG","09.07.22",1000,"PBV_H_CG","PGP_H_CG","","","","",""
"100","CG","09.07.22",1000,"PBV_H_CG","PVP_H_CG","","","","",""
"101","CG","09.07.22",1003,"PVP_H_CG","PMneck_CG","ht.bg[ha]","W","","",""
"102","CG","09.07.22",1006,"PBV_H_CG","NPG_H_CG","ap[ha]","W","","",""
"103","CG","09.07.22",1007,"PBV_H_CG","NPG_H_CG","ap[ha]","W","","",""
"104","CG","09.07.22",1026,"NPG_H_CG","PGP_H_CG","","","","",""
"105","CG","09.07.22",1027,"PBV_H_CG","NPG_H_CG","ht.bt[ha]","W","","",""
"106","CG","09.07.22",1027,"PBV_H_CG","PBG_H_CG","","","","",""
"107","CG","09.07.22",1027,"PBV_H_CG","NPG_H_CG","rt[ha]","","","",""
"108","CG","09.07.22",1030,"PGM_H_CG","PGP_H_CG","ap[rt]ap[rt]ap[rt]","W","","",""
"109","CG","09.07.22",1030,"PGM_H_CG","BPN_H_CG","","","","",""
"110","BG","09.07.22",1316,"VON_V_BG","NVB_V_BG","","","","",""
"111","BG","09.07.22",1317,"NVB_V_BG","BVO_V_BG","","","","",""
"112","BG","09.07.22",1317,"OMG_V_BG","VON_V_BG","bg[rt]","","","",""
"113","BG","09.07.22",1317,"OMG_V_BG","VON_V_BG","ap.bg[rt]","","","",""
"114","BG","09.07.22",1317,"VON_V_BG","NOM_V_BG","ap.dis[rt]","W","","",""
"115","BG","09.07.22",1317,"BVO_V_BG","NVB_V_BG","ap.dis[rt]","W","","",""
"116","BG","09.07.22",1319,"BOV_V_BG","VBV_V_BG","","","","",""
"117","BG","09.07.22",1320,"BOV_V_BG","VGN_V_BG","ap.dis[rt]","W","","",""
"118","BG","09.07.22",1321,"NVB_V_BG","GNV_V_BG","","","","",""
"119","BG","09.07.22",1321,"OMG_V_BG","GNV_V_BG","","","","",""
"120","BG","09.07.22",1322,"VNB_V_BG","VGN_V_BG","ap[voc.rt]","W","","",""
"121","BG","09.07.22",1325,"NVB_V_BG","BN_V_BG","","","","",""
"122","BG","09.07.22",1326,"VON_V_BG","BVO_V_BG","","","","",""
"123","BG","09.07.22",1327,"VON_V_BG","GBM_V_BG","","","","",""
"124","BG","09.07.22",1328,"NVB_V_BG","OM_V_BG","ap.bg[rt]","W","","",""
"125","BG","09.07.22",1328,"NVB_V_BG","OM_V_BG","ap[rt]","W","","",""
"126","BG","09.07.22",1329,"GBV_V_BG","OB_V_BG","ap.bg[rt]","W","","",""
"127","BG","09.07.22",1330,"GBV_V_BG","OB_V_BG","bg[ha]","","","",""
"128","BG","09.07.22",1331,"GNV_V_BG","OB_V_BG","","","","",""
"129","BG","09.07.22",1331,"OBMO_V_BG","GNV_V_BG","ap.bg[bg.ha]","W","","",""
"130","BG","09.07.22",1332,"VON_V_BG","OB_V_BG","ap.st[rt]","W","","",""
"131","BG","09.07.22",1332,"VON_V_BG","OB_V_BG","ap[ha]","W","","",""
"132","BG","09.07.22",1337,"VON_V_BG","GNV_V_BG","","","","",""
"133","BG","09.07.22",1338,"VON_V_BG","GBO_V_BG","ap.bi[voc.rt]","W","","",""
"134","BG","09.07.22",1339,"VON_V_BG","OM_V_BG","","","","",""
"135","BG","09.07.22",1341,"OBMO_V_BG","OB_V_BG","bg[rt]","","","",""
"136","BG","09.07.22",1341,"OBMO_V_BG","VON_V_BG","bg[rt]","","","",""
"137","BG","09.07.22",1341,"VON_V_BG","GNV_V_BG","ap.bg[voc.ha]","W","redirect ?","",""
"138","BG","09.07.22",1341,"OBMO_V_BG","OB_V_BG","","","","",""
"139","BG","09.07.22",1342,"OBMO_V_BG","GBV_V_BG","ap.dis[rt]","W","","",""
"140","BG","09.07.22",1342,"OBMO_V_BG","GBV_V_BG","ap.bg[rt]","W","","",""
"141","BG","09.07.22",1343,"VON_V_BG","GBV_V_BG","ap.bitail[tt.bg.voc]bg[fo]","W","","",""
"142","BG","09.07.22",1345,"MB_V_BG","OB_V_BG","","","","",""
"143","BG","09.07.22",1345,"MB_V_BG","OB_V_BG","ap[ha]","W","","",""
"144","BG","09.07.22",1346,"MB_V_BG","OB_V_BG","","","","",""
"145","BG","09.07.22",1347,"MB_V_BG","OB_V_BG","ap.bg[ha]","W","","",""
"146","BG","09.07.22",1348,"MB_V_BG","OB_V_BG","bg[voc.ha]","","","",""
"147","BG","09.07.22",1348,"MB_V_BG","GNV_V_BG","ap.bg[rt]","W","","",""
"148","BG","09.07.22",1403,"X143","brokenWT","","","","",""
"149","BG","09.07.22",1404,"brokenWT","X48","","","","",""
"150","BG","09.07.22",1405,"brokenWT","BVO_V_BG","bg[ht]","","","",""
"151","BG","09.07.22",1405,"MB_V_BG","BOGV_V_BG","fo<1bdl","","","",""
"152","BG","09.07.22",1408,"BOGV_V_BG","VGV_V_BG","","","","",""
"153","BG","09.07.22",1411,"OGMV_V_BG","BOGV_V_BG","ap[ig]ap.bg[voc.ha]","W","","",""
"154","BG","09.07.22",1411,"BOGV_V_BG","brokenWT","","","","",""
"155","BG","09.07.22",1412,"MB_V_BG","BVO_V_BG","","","","",""
"156","BG","09.07.22",1412,"MB_V_BG","VGV_V_BG","","","","",""
"157","BG","09.07.22",1413,"GMB_V_BG","X48","","","","",""
"158","BG","09.07.22",1414,"OGMV_V_BG","VGV_V_BG","fo<1bdl","","","",""
"159","BG","09.07.22",1414,"BOGV_V_BG","brokenWT","","","","",""
"160","BG","09.07.22",1415,"VGV_V_BG","brokenWT","","","","",""
"161","BG","09.07.22",1417,"BOGV_V_BG","VGV_V_BG","","","","",""
"162","BG","09.07.22",1417,"BOGV_V_BG","VGV_V_BG","","","","",""
"163","BG","09.07.22",1418,"GMB_V_BG","VGV_V_BG","tt[rt]","W","","",""
"164","BG","09.07.22",1419,"BOGV_V_BG","X48","ht.bg[ha]","W","","",""
