"","Location","Date","Time","Winner","Loser","Behaviour","Initiator","Comments","Preening","X","W_in_scans","L_in_scans"
"1","CG","09.07.22",734,"GPB_H_CG","GB_H_CG","","","","","",TRUE,TRUE
"2","CG","09.07.22",734,"X35","BNG_V_BG","","","","","",TRUE,TRUE
"3","CG","09.07.22",735,"PNB_H_CG","NVP_H_CG","ap.dis[rt]","W","","","",TRUE,TRUE
"4","CG","09.07.22",735,"BPN_V_CG","PNB_H_CG","","","","","",TRUE,TRUE
"5","CG","09.07.22",735,"X35","PNB_H_CG","ap.st[rt]","W","","","",TRUE,TRUE
"6","CG","09.07.22",736,"GVP_H_CG","GB_H_CG","fa[fo]","W","","","",TRUE,TRUE
"7","CG","09.07.22",736,"GVP_H_CG","BNw_H_CG","ht.bg[ha]","W","","","",TRUE,TRUE
"8","CG","09.07.22",737,"PGM_H_CG","GPB_H_CG","","","","","",TRUE,TRUE
"9","CG","09.07.22",737,"GVP_H_CG","BNw_H_CG","","","","","",TRUE,TRUE
"10","CG","09.07.22",737,"GVP_H_CG","PNP_H_CG","ht.ws[ha]","W","","","",TRUE,TRUE
"11","CG","09.07.22",739,"GBP_H_CG","BPG_V_CG","","","","","",TRUE,TRUE
"12","CG","09.07.22",740,"PBG_H_CG","VPG_H_CG","","","","","",TRUE,TRUE
"13","CG","09.07.22",744,"PVG_H_CG","PVB_H_CG","","","","","",TRUE,TRUE
"14","CG","09.07.22",744,"X35","GB_H_CG","","","","","",TRUE,TRUE
"15","CG","09.07.22",744,"X35","NVP_H_CG","","","","","",TRUE,TRUE
"16","CG","09.07.22",744,"PGM_H_CG","GPB_H_CG","ht.bg[voc.ha]","W","","","",TRUE,TRUE
"17","CG","09.07.22",745,"PGM_H_CG","PVG_H_CG","","","","","",TRUE,TRUE
"18","CG","09.07.22",746,"PBV_H_CG","X35","","","","","",TRUE,TRUE
"19","CG","09.07.22",747,"PBV_H_CG","GBP_H_CG","","","","","",TRUE,TRUE
"20","CG","09.07.22",748,"PVG_H_CG","PNB_H_CG","","","","","",TRUE,TRUE
"21","CG","09.07.22",749,"GVP_H_CG","VPG_H_CG","","","","","",TRUE,TRUE
"22","CG","09.07.22",754,"PBV_H_CG","VNG_V_BG","","","","","",TRUE,TRUE
"23","CG","09.07.22",754,"PBV_H_CG","PVG_H_CG","","","","","",TRUE,TRUE
"24","CG","09.07.22",755,"GVP_H_CG","NVP_H_CG","ht[ha]","W","","","",TRUE,TRUE
"25","CG","09.07.22",756,"GVP_H_CG","NVP_H_CG","","","","","",TRUE,TRUE
"26","CG","09.07.22",756,"PBV_H_CG","BNG_V_BG","","","","","",TRUE,TRUE
"27","CG","09.07.22",756,"PVG_H_CG","BPG_V_CG","","","","","",TRUE,TRUE
"28","CG","09.07.22",757,"GVP_H_CG","NVP_H_CG","","","","","",TRUE,TRUE
"29","CG","09.07.22",757,"PVB_H_CG","VNG_V_BG","","","","","",TRUE,TRUE
"30","CG","09.07.22",800,"VNG_V_BG","NBP_H_CG","","","","","",TRUE,TRUE
"31","CG","09.07.22",801,"GVP_H_CG","GB_H_CG","","","","","",TRUE,TRUE
"32","CG","09.07.22",802,"GVP_H_CG","PNP_H_CG","","","","","",TRUE,TRUE
