"","Location","Date","N_scan","X1","X2","X5","X11","X12","X31","X35","X39","X40","X42","X48","X51","X52","X53","X56","X78","X105","X107","X108","X135","X142","X143","X153","brokenWT","Gwing_BG","Nneck_BG","Mwing_BG","GNG_V_BG","PGM_H_CG","MGB_V_BG","BNw_H_CG","OPB_V_BG","BOGV_V_BG","GNB_V_BG","O_V_BG","Nsh_BG","NBw_H_CG","GB_H_CG","GPM_V_BG","MPM_H_CG","OGMV_V_BG","BN_V_BG","PNBN_H_CG","PVBN_H_CG","NPM_H_CG","PVB_H_CG","PVP_H_CG","PBG_H_CG","PBM_H_CG","PBP_H_CG","PBV_H_CG","PGB_H_CG","PBN_H_CG","PGN_H_CG","PGV_H_CG","PGP_H_CG","PMB_H_CG","PMG_H_CG","PVG_H_CG","PVM_H_CG","PVN_H_CG","PV_H_CG","PM_H_CG","PMneck_H_CG","PMN_H_CG","PMP_H_CG","PMV_H_CG","PN_H_CG","PNB_H_CG","PNG_H_CG","PNM_H_CG","PNP_H_CG","PNV_H_CG","VPB_H_CG","VPG_H_CG","VPM_H_CG","VPN_H_CG","VPV_H_CG","BPG_V_CG","BPB_H_CG","BPN_V_CG","BPV_H_CG","GPG_H_CG","GPN_H_CG","GPV_H_CG","GP_H_CG","MPN_H_CG","NPB_H_CG","NPG_H_CG","NPN_H_CG","NPV_H_CG","VBP_H_CG","VGP_H_CG","VNP_H_CG","BGP_H_CG","BNP_H_CG","BVP_H_CG","GBP_H_CG","GMP_H_CG","GNP_H_CG","GVP_H_CG","MGP_H_CG","MVP_H_CG","NBP_H_CG","NGP_H_CG","NMP_H_CG","NVP_H_CG","NB_V_CG","BPM_H_CG","BP_H_CG","GPB_H_CG","MPB_H_CG","MP_H_CG","BMP_H_CG","MBP_H_CG","OBG_V_BG","OBM_V_BG","OBN_V_BG","OBO_V_BG","OBV_V_BG","OB_V_BG","OGB_V_BG","OGM_V_BG","OGN_V_BG","OGO1_V_BG","OGO2_V_BG","OGV_V_BG","OG_V_BG","OMB_V_BG","OMG_V_BG","OMO_V_BG","OMO1_V_BG","OMO2_V_BG","OMV_V_BG","ONB_V_BG","ONG_V_BG","ONM_V_BG","ONO_V_BG","ONV_V_BG","ON_V_BG","OVB_V_BG","OVG1_V_BG","OVG2_V_BG","OVM_V_BG","OVN_V_BG","OVO_V_BG","OV_V_BG","BOG_V_BG","OM_V_BG","BOM_V_BG","BON_V_BG","BOV_V_BG","BO_V_BG","GNV_V_BG","GOB_V_BG","GOG_V_BG","GOM_V_BG","GON_V_BG","GOV_V_BG","GO_V_BG","MOB_V_BG","MOG_V_BG","MOM_V_BG","MON_V_BG","MOV_V_BG","NOB_V_BG","NOG_V_BG","NOM_V_BG","OBMO_V_BG","NON_V_BG","NOV_V_BG","NO_V_BG","NOMO_V_BG","VOB_V_BG","VOG_V_BG","VOM_V_BG","VON_V_BG","VOV_V_BG","BGO_V_BG","BMO_V_BG","BNO_V_BG","BVO_V_BG","GBO_V_BG","GMO_V_BG","GNO_V_BG","GVO_V_BG","MBO_V_BG","MGO_V_BG","MNO_V_BG","MVO_V_BG","NBO_V_BG","NGO_V_BG","NMO_V_BG","NVO_V_BG","VBO_V_BG","VGO_V_BG","VMO_V_BG","VNO_V_BG","VBG_V_BG","VBM_V_BG","VBN_V_BG","VBV_V_BG","VB_V_BG","BGM_V_BG","BGN_V_BG","BGV_V_BG","VGB_V_BG","VGN_V_BG","VGV_V_BG","VMB_V_BG","VM_V_BG","VNB_V_BG","VNG_V_BG","VNM_V_BG","VNV_V_BG","VN_V_BG","BMG_V_BG","BMV_V_BG","BNG_V_BG","BNM_V_BG","BNV_V_BG","BVG_V_BG","BVM_V_BG","BVN_V_BG","BV_V_BG","GBM_V_BG","GBN_V_BG","GBV_V_BG","GMN_V_BG","GMB_V_BG","GMV_V_BG","GVB_V_BG","GVM_V_BG","GVN_V_BG","BVB_V_BG","MBN_V_BG","MGN_V_BG","MGV_V_BG","MNB_V_BG","MNG_V_BG","MNV_V_BG","MVB_V_BG","MVG_V_BG","MVN_V_BG","NBG_V_BG","NBM_V_BG","NBV_V_BG","NGB_V_BG","NGM_V_BG","NGV_V_BG","NMG_V_BG","NMV_V_BG","NVB_V_BG","NVG_V_BG","NVM_V_BG","BGB_V_BG","BG_V_BG","VGM_V_BG","VG_V_BG","VMG_V_BG","VMN_V_BG","VMV_V_BG","BMB_V_BG","BMN_V_BG","BNB_V_BG","GBG_V_BG","GMG_V_BG","GB_V_BG","GM_V_BG","GVG_V_BG","GV_V_BG","MBG_V_BG","MBM_V_BG","MBV_V_BG","MB_V_BG","MGM_V_BG","MG_V_BG","MVM_V_BG","MV_V_BG","NBN_V_BG","NGN_V_BG","NG_V_BG","NVN_V_BG","NV_V_BG"
"1","CG",20220709,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","CG",20220709,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CG",20220709,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","CG",20220709,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","CG",20220709,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","CG",20220709,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","CG",20220709,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","CG",20220709,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","CG",20220709,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","CG",20220709,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
