,OBO_V_BG_2022,OGV_V_BG_2022,VNP_H_CG_2022,OGV_V_SP_2019,GVB_V_BG_2022,BPN_H_CG_2022,BGB_H_SP_2019,BGB_H_SP_2019,BGB_H_SP_2019,BTN_V_SP_2019,VBV_V_BG_2022,MN_V_BG_2022,GOM_V_SP_2019,VMO_V_BG_2022,VMT_V_WO_2019,GNG_V_BG_2022,VNT_V_WO_2019,BMO2_V_SP_2019,BMO2_V_SP_2019,BGTO_V_SP_2019,BPO_V_SP_2019,GPG_H_CG_2022,BMO1_V_SP_2019,GBP_H_CG_2022,UK3_NU_2019,UK4_NU_2019,VTP_V_WO_2019,PBV_H_CG_2022,VTG_V_WO_2019,NBO_V_BG_2022,PBG_H_CG_2022,OMP_V_BA_2019,OMB_V_BA_2019,VPO_V_BA_2019,Polly_WT,BGO_V_BA_2019,PMmiddle_CG_2022,OPB_V_BA_2019,OPB_V_BA_2019,GO_H_BG_2019,Heidi_2019,PGV_H_CG_2022,GOT_H_BG_2019,Lawrence_WT,Atticus_WT,GVO_H_BG_2019,Monster_WT,PVB_H_CG_2022,TG_H_CG_2019,TNG_H_CG_2019,TNG_H_CG_2019,TVT_H_CG_2019,VNT_H_CG_2019,VNT_H_CG_2019,VPB_H_CG_2019,OGV_V_SP_2019,VNG_V_BG_2022,VPG_H_CG_2019,VPN_H_CG_2019,VPNT_H_CG_2019,VPO_H_CG_2019,VPT_H_CG_2019,VTO_H_CG_2019,PGB_H_CG_2022,P_H_CG_2019,NOP_H_CG_2019,PNG_H_CG_2019,TOG_H_CG_2019,VBP_H_CG_2019,VG_H_CG_2019,VNP_H_CG_2019,VOV_H_CG_2019,TNP_H_CG_2019,GPN_H_CG_2022,TGV_H_CG_2019,TV_H_CG_2019,PVBN_H_CG_2022,VPNT_H_CG_2019,Shakespeare_WT,PNV_V_NB_2019,PVO_V_NB_2019,PVO_V_NB_2019,BGT1_V_SP_2019,PMV_V_NB_2019,GNT_V_NB_2019,GNV_V_NB_2019,BGN_V_BA_2019,PVNBsm_CG_2022,BTO_V_BA_2019,GBN_H_BG_2019,BMO1_V_SP_2019,VPG_H_CG_2022,NBG_V_BG_2022,OVB_V_BG_2022,PGP_H_CG_2022,MGV_V_BG_2022,BNwing_CG_2022,ONM_V_BG_2022,ONO_V_BG_2022,VPM_H_CG_2022,NBO_V_SP_2019,ONO_V_BG_2022,OMB_V_BG_2022,PVBsm_CG_2022,BVG_V_BG_2022,BVG_V_BG_2022,VMV_V_BG_2022,PVG_H_CG_2022,POM_V_SP_2019,PVM_H_CG_2022,VPB_H_CG_2022,TPOP_V_SP_2019,VPM_H_CG_2022,Lawrence_WT,Shakespeare_WT,Polly_WT,Polly_WT,Chesea_WT,King_Monkey_WT,Doepel_WT,
OBO_V_BG_2022,,,,,0.961145535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961145535
OGV_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975937587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97593
VNP_H_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965219323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965219323
OGV_V_SP_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.951820992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.951820992
GVB_V_BG_2022,0.961145535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961145535
BPN_H_CG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970003594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970003594
BGB_H_SP_2019,,,,,,,,,0.989551676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989551676
BGB_H_SP_2019,,,,,,,,,,0.992459315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992459315
BGB_H_SP_2019,,,,,,,0.989551676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989551676
BTN_V_SP_2019,,,,,,,,0.992459315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992459315
VBV_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.960679496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.960679496
MN_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971283229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971283229
GOM_V_SP_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99346018,,,,,,,,,,,,0.99346018
VMO_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982719816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982719816
VMT_V_WO_2019,,,,,,,,,,,,,,,,,0.993789166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993789166
GNG_V_BG_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9734459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9734459
VNT_V_WO_2019,,,,,,,,,,,,,,,0.993789166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993789166
BMO2_V_SP_2019,,,,,,,,,,,,,,,,,,,0.992944247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995008749,,,,,,,,,,,,,,,,,,,,0.995008749
BMO2_V_SP_2019,,,,,,,,,,,,,,,,,,0.992944247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992265002,,,,,,,,,,,,,,,,,,,,0.992944247
