"","LOCATION","DATE","TIME","WINNER","LOSER","BEHAVIOUR_SEQ","INTENSITY","ESCALATION"
"1540","CG",20190708,1046,"TNV_H_CG","X2","",NA,""
"285","CG",20190717,946,"VTO_H_CG","X2","ap.dis[rt]",0,"N"
"303","CG",20190717,958,"X42","X2","st[st]bg[bg.rt]",1,"Y"
"2611","CG",20190929,1006,"X78","X5","",NA,""
"2379","BA",20190928,1433,"BMN_V_BA","X5","[ap.st.bg]voc.ap.dis[rt]
",1,"Y"
"2385","BA",20190928,1435,"BMN_V_BA","X5","fi",3,"Y"
"2395","BA",20190928,1443,"BMN_V_BA","X5","ap.st[rt]",1,"N"
"2401","BA",20190928,1447,"BMN_V_BA","X5","",NA,""
"2402","BA",20190928,1448,"BMN_V_BA","X5","ap[ha]ap[rt]",0,"N"
"2378","BA",20190928,1429,"OTVT_V_BA","X5","st[rt]ap.dis[rt]",1,""
"2387","BA",20190928,1438,"OTVT_V_BA","X5","",NA,""
"2389","BA",20190928,1438,"OTVT_V_BA","X5","",NA,""
"2417","BA",20190928,1519,"OTVT_V_BA","X5","ap.dis[rt]",0,"N"
"2420","BA",20190928,1523,"OTVT_V_BA","X5","bg[ha]",1,""
"1478","CG",20190708,938,"PBG_H_CG","X5","jo[voc.rt]",2,""
"2597","CG",20190929,956,"PBG_H_CG","X5","ht.bg[ha]ht.bg[ha]",1,"N"
"2327","BA",20190928,1338,"TBG_V_BA","X5","ap.bg.beacktouch[rt]",2,"Y"
"2398","BA",20190928,1445,"TBP_V_BA","X5","ap.dis[rt]",0,"N"
"2419","BA",20190928,1522,"TPM_V_BA","X5","ap.dis[rt]",0,"N"
"2612","CG",20190929,1006,"X11","X5","ap.dis[rt]",0,"N"
"1474","CG",20190708,936,"X35","X5","ap.tp[rt]",1,"N"
"1469","CG",20190708,933,"X42","X5","ap.st[rt]",1,"N"
"2666","CG",20190929,1037,"X42","X5","ap.st[rt]",1,"N"
"1321","CG",20190709,959,"X42","X11","st[st.yawns.st.turnsheadaside.st.rt]
",1,"Y"
"1414","CG",20190709,1135,"X42","X11","ap.bt[rt]",1,"N"
"1489","CG",20190708,953,"X42","X11","st[rt]",1,""
"2307","CG",20190922,1159,"X42","X11","ap.st[st.rt]",1,"Y"
"3555","CG",20190712,925,"X42","X11","fa.tp[fl]",1,"N"
"3767","CG",20190711,925,"X42","X11","ap.st[turnssideways]dis[rt]",1,"N"
"3893","CG",20190921,1007,"X42","X11","st[st]ig[st]",1,"Y"
"5298","CG",20190924,1107,"X42","X11","ap.dis[rt]",0,"N"
"5305","CG",20190924,1114,"X42","X11","fa.tp[fl]",1,"N"
"740","BA",20190717,1555,"B_V_BA","X15","ap.bt[ha]",1,"N"
"3076","BA",20190919,1343,"BOB_V_BA","X15","cd.ap[rt]",2,"N"
"4596","BA",20190926,1349,"BOG_V_BA","X15","",NA,""
"5831","BA",20190927,1322,"BON_V_BA","X15","",NA,""
"6205","BA",20190718,1343,"BVB_V_BA","X15","ap.dis[rt]",0,"N"
"1607","BA",20190925,1343,"BVG_V_BA","X15","[ap]bg[rt]",1,"Y"
"1995","BA",20190714,1435,"BVO_V_BA","X15","ap.dis[rt]",0,"N"
"3059","BA",20190919,1320,"BVP_V_BA","X15","",NA,""
"5864","BA",20190927,1537,"MBV_V_BA","X15","ht.biwing[voc.ha]",2,"N"
"6191","BA",20190718,1332,"MBV_V_BA","X15","ht.bg[voc.ha]",1,"N"
"716","BA",20190717,1530,"MNM_V_BA","X15","st[rt]",1,""
"3067","BA",20190919,1332,"Msmush_BA","X15","ap.dis[rt]",0,"N"
"6247","BA",20190718,1415,"MTN_V_BA","X15","ap.dis[rt]",0,"N"
"6236","BA",20190718,1407,"MTP_V_BA","X15","ap.dis[rt]",0,"N"
"6222","BA",20190718,1353,"MVN_V_BA","X15","ap.st[rt]",1,"N"
"1708","BA",20190925,1536,"MVT_V_BA","X15","ap.dis[rt]",0,"N"
"5866","BA",20190927,1541,"MVT_V_BA","X15","ap.dis[rt]",0,"N"
"6201","BA",20190718,1342,"MVT_V_BA","X15","ap.tp[rt]",0,"N"
"718","BA",20190717,1533,"OMOG_V_BA","X15","ap.dis[ha]",0,"N"
"743","BA",20190717,1558,"OMOG_V_BA","X15","ap.tp[ha]",0,"N"
"1169","BA",20190923,1405,"OMOG_V_BA","X15","",NA,""
"1613","BA",20190925,1346,"OMOG_V_BA","X15","ap.dis[rt]",0,"N"
"1615","BA",20190925,1346,"OMOG_V_BA","X15","ap.dis[rt]",0,"N"
"1637","BA",20190925,1420,"OMOG_V_BA","X15","bg[ha]",1,""
"1640","BA",20190925,1425,"OMOG_V_BA","X15","ap.dis[rt]",0,"N"
"1723","BA",20190925,1544,"OTVT_V_BA","X15","ap.bg[ha]ap.bg[ha]",1,"N"
"4588","BA",20190926,1343,"OTVT_V_BA","X15","ap.bg[ha]",1,"N"
"4607","BA",20190926,1357,"OTVT_V_BA","X15","",NA,""
"4564","BA",20190926,1323,"OVP_V_BA","X15","ht.bg[ha]",1,"N"
"1673","BA",20190925,1504,"PTB_H_CG","X15","",NA,""
"1136","BA",20190923,1343,"X118","X15","ap.bg[ha]",1,"N"
"5225","CG",20190924,1017,"PBG_H_CG","X23","ht.bg[ha]",1,"N"
"5242","CG",20190924,1024,"X11","X23","ht.bg[ha]",1,"N"
"570","CG",20190927,1142,"PBG_H_CG","X27","ap.bg[rt]",1,"N"
"4289","CG",20190925,954,"PBG_H_CG","X27","ht.bg[ha]
",NA,""
"5228","CG",20190924,1018,"PBG_H_CG","X27","ap.dis[rt]",0,"N"
"5231","CG",20190924,1020,"PBG_H_CG","X27","fa.abi[voc.fl]",1,"N"
"5215","CG",20190924,1008,"VOT_H_CG","X27","ht.bg[voc.ha]",1,"N"
"574","CG",20190927,1145,"VPV_H_CG","X27","cd[ha]",2,""
"5229","CG",20190924,1019,"X35","X27","",NA,""
"558","CG",20190927,1135,"X93","X31","",NA,""
"832","CG",20190928,938,"bigP_H_CG","X31","ap.dis[rt]",0,"N"
"834","CG",20190928,938,"BNV_H_CG","X31","ap.dis[rt]
",0,"N"
"2244","CG",20190922,934,"PNV_H_CG","X31","",NA,""
"547","CG",20190927,1128,"TNG_H_CG","X31","fa[ha]",1,"N"
"2254","CG",20190922,942,"TNV_H_CG","X31","",NA,""
"843","CG",20190928,947,"VPB_H_CG","X31","ap.ws[st.ws]bg[bg]st[st]",2,"Y"
"858","CG",20190928,955,"VPB_H_CG","X31","bg[ha]",1,""
"831","CG",20190928,937,"VPNT_H_CG","X31","",NA,""
"847","CG",20190928,948,"VPNT_H_CG","X31","",NA,""
"2245","CG",20190922,934,"VR_H_CG","X31","",NA,""
"597","CG",20190927,1200,"VTPsm_H_CG","X31","ht[ha]",0,"N"
"859","CG",20190928,955,"X11","X31","ap[ha]",0,"N"
"2250","CG",20190922,938,"X11","X31","ap.dis[rt]",0,"N"
"845","CG",20190928,947,"X35","X31","",NA,""
"1300","CG",20190709,939,"BNG_V_BA","X35","",NA,""
"320","CG",20190710,916,"PBG_H_CG","X35","ap.dis[rt]",0,"N"
"1517","CG",20190708,1023,"PBG_H_CG","X35","fa[fl]
",1,"N"
"2042","CG",20190919,935,"PBG_H_CG","X35","ap.st[ha]",1,"N"
"2043","CG",20190919,935,"PBG_H_CG","X35","",NA,""
"3010","CG",20190920,1104,"PBG_H_CG","X35","",NA,""
"3790","CG",20190711,949,"PBG_H_CG","X35","st[st]ht.bt[ha]",1,"Y"
"3859","CG",20190921,938,"PBG_H_CG","X35","",NA,""
"3880","CG",20190921,956,"PBG_H_CG","X35","",NA,""
"3865","CG",20190921,943,"PMG_H_CG","X35","ap.bg[ha]",1,"N"
"1323","CG",20190709,1002,"PNV_H_CG","X35","ap.dis[ha]",0,"N"
"6335","CG",20190821,1035,"TG_H_CG","X35","[fa]voc.fa[fl]fa.tp[fl]",1,"Y"
"6131","CG",20190819,1055,"TNP_H_CG","X35","ap.dis[rt]",0,"N"
"841","CG",20190928,945,"VPN_H_CG","X35","ap.bg[ha]",1,"N"
"3045","CG",20190920,1148,"VPN_H_CG","X35","tt[ha]",1,"N"
"3048","CG",20190920,1150,"VPN_H_CG","X35","ap.bt[ha]",1,"N"
"272","CG",20190717,920,"VTO_H_CG","X35","ht.tp[fl]",1,"N"
"331","CG",20190710,920,"VTO_H_CG","X35","",NA,""
"1526","CG",20190708,1030,"VTO_H_CG","X35","ap.dis[ha]",0,"N"
"1536","CG",20190708,1038,"VTO_H_CG","X35","ap.dis[ha]",0,"N"
"2238","CG",20190923,1156,"VTO_H_CG","X35","",NA,""
"2640","CG",20190929,1019,"VTO_H_CG","X35","bg[ha]",1,""
"5200","CG",20190924,945,"VTO_H_CG","X35","ap.bg[rt]",1,"N"
"6292","CG",20190819,1052,"VTO_H_CG","X35","",NA,""
"6363","CG",20190821,1048,"VTO_H_CG","X35","",NA,""
"1324","CG",20190709,1003,"VTP_H_CG","X35","ap.st.dis[rt]",1,"N"
"3547","CG",20190712,916,"VTP_H_CG","X35","ap.ht.bg[st.rt]",1,"Y"
"3782","CG",20190711,942,"VTP_H_CG","X35","ap.dis",0,"N"
"4025","CG",20190716,923,"VTP_H_CG","X35","",NA,""
"4074","CG",20190716,1008,"X11","X35","st[rt]",1,""
"404","CG",20190710,1039,"X42","X35","ap.dis[rt]",0,"N"
"1091","CG",20190714,1142,"X42","X35","ap.dis[rt]",0,"N"
"1351","CG",20190709,1027,"X42","X35","ap[rt]",0,"N"
"1360","CG",20190709,1031,"X42","X35","ap.dis[rt]",0,"N"
"1442","CG",20190708,915,"X42","X35","ap.bt.tp[rt]",1,"N"
"2169","CG",20190923,1105,"X124","X39","ap.dis[rt]",0,"N"
"2234","CG",20190923,1155,"BNO_V_BA","X39","ap.dis[rt]",0,"N"
"2178","CG",20190923,1111,"BNV_H_CG","X39","",NA,""
"2185","CG",20190923,1116,"BNV_H_CG","X39","",NA,""
"2161","CG",20190923,1058,"TNG_H_CG","X39","ap[rt]",0,"N"
"2175","CG",20190923,1108,"TNV_H_CG","X39","ap.dis[ha]ap.dis[ha]",1,"N"
"2227","CG",20190923,1152,"VNV_H_CG","X39","",NA,""
"2165","CG",20190923,1102,"VPN_H_CG","X39","ap.dis[rt]",0,"N"
"2170","CG",20190923,1105,"VTO_H_CG","X39","ap.dis[rt]",0,"N"
"2208","CG",20190923,1142,"VTO_H_CG","X39","ap.bt[ha]ap.dis[ha]",1,"N"
"2598","CG",20190929,958,"X5","X40","ap.dis[rt]",0,"N"
"932","CG",20190928,1140,"X78","X40","",NA,""
"4336","CG",20190925,1037,"X78","X40","ap.dis[rt]",0,"N"
"4354","CG",20190925,1049,"X78","X40","ap.dis[ha]",0,"N"
"4356","CG",20190925,1051,"X78","X40","",NA,""
"4373","CG",20190925,1059,"X78","X40","",NA,""
"3738","CG",20190711,905,"X93","X40","ap.dis[rt]",0,"N"
"2948","CG",20190920,958,"bigP_H_CG","X40","ap.dis",0,"N"
