Location,Date,Time,Winner,Loser,Behaviour,Initiator,Comments,Preening,
CG,09.07.22,734,GPB_H_CG,GBw_H_CG,,,,,
CG,09.07.22,734,35,BNG_H_CG,,,,,
CG,09.07.22,735,PNB_H_CG,NVP_H_CG,ap.dis[rt],W,,,
CG,09.07.22,735,BPN_H_CG,PNB_H_CG,,,,,
CG,09.07.22,735,35,PNB_H_CG,ap.st[rt],W,,,
CG,09.07.22,736,GVP_H_CG,GBw_H_CG,fa[fo],W,,,
CG,09.07.22,736,GVP_H_CG,BNw_H_CG,ht.bg[ha],W,,,
CG,09.07.22,737,PGM_H_CG,GPB_H_CG,,,,,
CG,09.07.22,737,GVP_H_CG,BNw_H_CG,,,,,
CG,09.07.22,737,GVP_H_CG,PNP_H_CG,ht.ws[ha],W,,,
CG,09.07.22,739,GBP_H_CG,BPG_H_CG,,,,,
CG,09.07.22,740,PBG_H_CG,VPG_H_CG,,,,,
CG,09.07.22,744,PVG_H_CG,PVBsm_H_CG,,,,,
CG,09.07.22,744,35,GBw_H_CG,,,,,
CG,09.07.22,744,35,NVP_H_CG,,,,,
CG,09.07.22,744,PGM_H_CG,GPB_H_CG,ht.bg[voc.ha],W,,,
CG,09.07.22,745,PGM_H_CG,PVG_H_CG,,,,,
CG,09.07.22,746,PBV_H_CG,35,,,,,
CG,09.07.22,747,PBV_H_CG,GBP_H_CG,,,,,
CG,09.07.22,748,PVG_H_CG,PNB_H_CG,,,,,
CG,09.07.22,749,GVP_H_CG,VPG_H_CG,,,,,
CG,09.07.22,754,PBV_H_CG,VNG_H_CG,,,,,
CG,09.07.22,754,PBV_H_CG,PVG_H_CG,,,,,
CG,09.07.22,755,GVP_H_CG,NVP_H_CG,ht[ha],W,,,
CG,09.07.22,756,GVP_H_CG,NVP_H_CG,,,,,
CG,09.07.22,756,PBV_H_CG,BNG_H_CG,,,,,
CG,09.07.22,756,PVG_H_CG,BPG_H_CG,,,,,
CG,09.07.22,757,GVP_H_CG,NVP_H_CG,,,,,
CG,09.07.22,757,PVB_H_CG,VNG_H_CG,,,,,
CG,09.07.22,800,VNG_H_CG,NBP_H_CG,,,,,
CG,09.07.22,801,GVP_H_CG,GBw_H_CG,,,,,
CG,09.07.22,802,GVP_H_CG,PNP_H_CG,,,,,
CG,09.07.22,802,NVP_H_CG,PNP_H_CG,ap.dis[rt],W,,,
CG,09.07.22,803,BNw_H_CG,VNG_H_CG,,,,,
CG,09.07.22,805,GVP_H_CG,NVP_H_CG,ws.ht[ha],W,,,
CG,09.07.22,805,GVP_H_CG,PNB_H_CG,,,,,
CG,09.07.22,808,GPN_H_CG,BPB_H_CG,,,,,
CG,09.07.22,808,GVP_H_CG,GPB_H_CG,,,,,
CG,09.07.22,808,35,MP_H_CG,,,,,
CG,09.07.22,810,11,GVP_H_CG,ap[rt],W,,,
CG,09.07.22,812,PVBN_H_CG,NBP_H_CG,,,,,
CG,09.07.22,813,GVP_H_CG,PNB_H_CG,ht.bg[ha],W,,,
CG,09.07.22,816,BPN_H_CG,PGP_H_CG,ap.dis[rt],W,,,
CG,09.07.22,818,11,BNG_H_CG,,,,,
CG,09.07.22,819,PNB_H_CG,BN_H_CG,[ap]st[rt],L,,,
CG,09.07.22,822,35,PVBsm_H_CG,ap.bg[rt],W,,,
CG,09.07.22,824,GPN_H_CG,VPG_H_CG,ap[ha],W,,,
CG,09.07.22,824,PGP_H_CG,NBP_H_CG,ap.bg[ha],W,,,
CG,09.07.22,824,PGP_H_CG,VPG_H_CG,ap.dis[rt],W,,,
CG,09.07.22,825,PGP_H_CG,VPG_H_CG,ap.st[rt],W,,,
CG,09.07.22,828,MP_H_CG,NBP_H_CG,ap[ha],W,,,
CG,09.07.22,829,MP_H_CG,PNB_H_CG,ap[rt],W,,,
